index,linear,bin
1,1.0,1.0
2,1.5,2.0
3,2.0,2.3333333333333335
4,2.5,3.5
5,3.0,3.8
6,3.5,4.166666666666667
7,4.0,4.428571428571429
8,4.5,5.125
9,5.0,5.333333333333333
10,5.5,5.6
11,6.0,5.818181818181818
12,6.5,6.083333333333333
13,7.0,6.230769230769231
14,7.5,6.428571428571429
15,8.0,6.6
16,8.5,7.0
17,9.0,7.117647058823529
18,9.5,7.277777777777778
19,10.0,7.421052631578948
20,10.5,7.6
21,11.0,7.714285714285714
22,11.5,7.863636363636363
23,12.0,8.0
24,12.5,8.166666666666666
25,13.0,8.24
26,13.5,8.346153846153847
27,14.0,8.444444444444445
28,14.5,8.571428571428571
29,15.0,8.655172413793103
30,15.5,8.766666666666667
