t Seconds,x position,y position,x pixels,y pixels,tV seconds,x velocity,y velocity,
1.217E+0,65.528E-3,33.306E-3,72.018E+0,377.784E+0,1.242E+0,172.700E-3,881.588E-6,
1.267E+0,74.163E-3,33.350E-3,77.637E+0,378.156E+0,1.292E+0,181.833E-3,16.803E-3,
1.317E+0,83.255E-3,34.190E-3,83.590E+0,378.032E+0,1.342E+0,197.550E-3,10.291E-3,
1.367E+0,93.132E-3,34.705E-3,90.039E+0,378.156E+0,1.392E+0,274.512E-3,517.897E-6,
1.417E+0,106.858E-3,34.730E-3,98.969E+0,378.777E+0,1.442E+0,266.924E-3,-23.981E-6,
1.467E+0,120.204E-3,34.729E-3,107.650E+0,379.398E+0,1.492E+0,335.213E-3,4.853E-3,
1.517E+0,136.965E-3,34.972E-3,118.564E+0,380.019E+0,1.542E+0,321.123E-3,-11.423E-3,
1.567E+0,153.021E-3,34.401E-3,128.982E+0,381.136E+0,1.592E+0,380.739E-3,8.104E-3,
1.617E+0,172.058E-3,34.806E-3,141.384E+0,381.757E+0,1.642E+0,463.661E-3,21.661E-3,
1.667E+0,195.241E-3,35.889E-3,156.514E+0,382.129E+0,1.692E+0,436.565E-3,-26.082E-3,
1.717E+0,217.069E-3,34.585E-3,170.653E+0,383.991E+0,1.742E+0,476.670E-3,-314.105E-6,
1.767E+0,240.903E-3,34.569E-3,186.155E+0,385.109E+0,1.792E+0,552.004E-3,12.701E-3,
1.817E+0,268.503E-3,35.204E-3,204.138E+0,385.978E+0,1.842E+0,560.676E-3,-1.949E-3,
1.867E+0,296.537E-3,35.107E-3,222.369E+0,387.344E+0,1.892E+0,613.248E-3,9.440E-3,
1.917E+0,327.199E-3,35.579E-3,242.337E+0,388.461E+0,1.942E+0,620.835E-3,9.982E-3,
1.967E+0,358.241E-3,36.078E-3,262.552E+0,389.578E+0,1.992E+0,728.147E-3,2.376E-3,
2.017E+0,394.648E-3,36.197E-3,286.240E+0,391.192E+0,2.042E+0,710.260E-3,39.272E-3,
2.067E+0,430.161E-3,38.160E-3,309.432E+0,391.565E+0,2.092E+0,750.910E-3,4.002E-3,
2.117E+0,467.707E-3,38.360E-3,333.864E+0,393.179E+0,2.142E+0,761.210E-3,-33.436E-3,
2.167E+0,505.767E-3,36.688E-3,358.544E+0,396.035E+0,2.192E+0,817.572E-3,31.666E-3,
2.217E+0,546.646E-3,38.272E-3,385.209E+0,396.904E+0,2.242E+0,873.940E-3,-10.116E-3,
2.267E+0,590.343E-3,37.766E-3,413.609E+0,399.263E+0,2.292E+0,887.488E-3,13.756E-3,
2.317E+0,634.717E-3,38.454E-3,442.506E+0,400.877E+0,2.342E+0,888.031E-3,6.160E-3,
2.367E+0,679.119E-3,38.762E-3,471.403E+0,402.739E+0,2.392E+0,912.421E-3,-15.002E-3,
2.417E+0,724.740E-3,38.012E-3,501.044E+0,405.346E+0,2.442E+0,1.056E+0,10.485E-3,
2.467E+0,777.515E-3,38.536E-3,535.398E+0,407.457E+0,2.492E+0,938.974E-3,40.336E-3,
2.517E+0,824.464E-3,40.553E-3,566.031E+0,408.326E+0,2.542E+0,1.026E+0,-6.874E-3,
2.567E+0,875.775E-3,40.209E-3,599.392E+0,410.933E+0,2.592E+0,1.154E+0,17.530E-3,
2.617E+0,933.483E-3,41.085E-3,636.971E+0,413.044E+0,2.642E+0,1.175E+0,41.943E-3,
2.667E+0,992.246E-3,43.183E-3,675.293E+0,414.410E+0,,,,
