Molab Export Data 10.vi		Video path	C:\LabData\FGXI6094.mov	MoLab State	0610 Fit x	7	Rotation	2	Contrast	1.000E+0
Calibration Data									
x0	y0	x1	y1	Sin q	Cos q	Cal factor	t0	EU#	EU text
370.975E+0	189.663E+0	370.975E+0	189.663E+0	1.000E+0	0.000E+0	1.537E-3	366.667E-3	1	m
Prediction/Fit Data	Equation Text	Eq#	A	B	C	D	E	F					
x vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
y vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vx vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vy vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
x vs t Fit Equation	f(z) = A + B z	0	10.000E-3	610.000E-3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
y vs t Fit Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vx vs t Fit Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vy vs t Fit Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Aquired Data													
t Seconds	x position	y position	x pixels	y pixels	tV seconds	x velocity	y velocity						
0.000E+0	1.857E-3	39.576E-3	372.183E+0	163.922E+0				
33.333E-3	35.022E-3	39.310E-3	393.755E+0	164.095E+0				
91.667E-3	65.003E-3	40.107E-3	413.255E+0	163.577E+0				
125.000E-3	87.025E-3	39.310E-3	427.578E+0	164.095E+0				
158.333E-3	109.047E-3	37.982E-3	441.902E+0	164.959E+0				
191.667E-3	127.884E-3	38.779E-3	454.154E+0	164.440E+0				
225.000E-3	148.314E-3	39.576E-3	467.442E+0	163.922E+0				
258.333E-3	169.805E-3	38.779E-3	481.420E+0	164.440E+0				
291.667E-3	189.704E-3	39.044E-3	494.363E+0	164.268E+0				
325.000E-3	210.664E-3	38.248E-3	507.996E+0	164.786E+0				
358.333E-3	227.379E-3	37.451E-3	518.868E+0	165.304E+0				
391.667E-3	249.401E-3	36.654E-3	533.191E+0	165.822E+0				
425.000E-3	268.769E-3	36.388E-3	545.789E+0	165.995E+0				
458.333E-3	288.137E-3	37.716E-3	558.386E+0	165.131E+0				
491.667E-3	309.098E-3	37.451E-3	572.019E+0	165.304E+0				
525.000E-3	332.711E-3	37.716E-3	587.378E+0	165.131E+0				
558.333E-3	353.141E-3	35.326E-3	600.666E+0	166.686E+0				
591.667E-3	375.693E-3	36.123E-3	615.334E+0	166.168E+0				
625.000E-3	392.408E-3	35.857E-3	626.206E+0	166.341E+0				
658.333E-3	416.022E-3	37.185E-3	641.565E+0	165.477E+0				
691.667E-3	436.982E-3	36.388E-3	655.198E+0	165.995E+0				
725.000E-3	458.473E-3	35.591E-3	669.176E+0	166.513E+0				
758.333E-3	477.841E-3	36.388E-3	681.774E+0	165.995E+0				
791.667E-3	501.985E-3	35.591E-3	697.478E+0	166.513E+0				
825.000E-3	524.007E-3	36.388E-3	711.801E+0	165.995E+0				
