Molab Export Data 10.vi		Video path	C:\LabData\FQAE1616.mov	MoLab State	0610 Fit x	7	Rotation	2	Contrast	1.000E+0
Calibration Data									
x0	y0	x1	y1	Sin q	Cos q	Cal factor	t0	EU#	EU text
369.179E+0	187.865E+0	369.179E+0	187.865E+0	1.000E+0	0.000E+0	1.535E-3	216.667E-3	1	m
Prediction/Fit Data	Equation Text	Eq#	A	B	C	D	E	F					
x vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
y vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vx vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vy vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
x vs t Fit Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
y vs t Fit Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vx vs t Fit Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vy vs t Fit Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Aquired Data													
t Seconds	x position	y position	x pixels	y pixels	tV seconds	x velocity	y velocity						
0.000E+0	4.796E-3	32.697E-3	372.303E+0	166.571E+0				
33.333E-3	34.261E-3	32.926E-3	391.491E+0	166.422E+0				
66.667E-3	65.552E-3	31.325E-3	411.870E+0	167.464E+0				
100.000E-3	94.559E-3	30.182E-3	430.761E+0	168.209E+0				
133.333E-3	126.307E-3	31.783E-3	451.437E+0	167.167E+0				
166.667E-3	157.142E-3	31.097E-3	471.518E+0	167.613E+0				
200.000E-3	190.717E-3	32.697E-3	493.384E+0	166.571E+0				
233.333E-3	221.095E-3	31.097E-3	513.168E+0	167.613E+0				
266.667E-3	250.559E-3	30.411E-3	532.356E+0	168.060E+0				
300.000E-3	279.109E-3	31.097E-3	550.950E+0	167.613E+0				
333.333E-3	304.462E-3	31.783E-3	567.461E+0	167.167E+0				
366.667E-3	327.531E-3	32.469E-3	582.485E+0	166.720E+0				
400.000E-3	350.143E-3	32.240E-3	597.211E+0	166.869E+0				
433.333E-3	374.125E-3	34.298E-3	612.830E+0	165.529E+0				
466.667E-3	397.651E-3	29.953E-3	628.151E+0	168.358E+0				
500.000E-3	421.633E-3	32.011E-3	643.769E+0	167.018E+0				
533.333E-3	444.245E-3	33.154E-3	658.495E+0	166.273E+0				
566.667E-3	468.685E-3	33.840E-3	674.412E+0	165.826E+0				
600.000E-3	492.210E-3	33.154E-3	689.733E+0	166.273E+0				
633.333E-3	516.193E-3	35.212E-3	705.351E+0	164.933E+0				
666.667E-3	541.089E-3	34.526E-3	721.565E+0	165.380E+0				
700.000E-3	561.873E-3	33.383E-3	735.101E+0	166.124E+0				
733.333E-3	586.769E-3	34.526E-3	751.315E+0	165.380E+0				
