Molab Export Data 10.vi		Video path	C:\LabData\UOHM7935.mov	MoLab State	0610 Fit x	7	Rotation	2	Contrast	1.000E+0
Calibration Data									
x0	y0	x1	y1	Sin q	Cos q	Cal factor	t0	EU#	EU text
409.600E+0	186.067E+0	409.600E+0	186.067E+0	1.000E+0	0.000E+0	1.535E-3	33.333E-3	1	m
Prediction/Fit Data	Equation Text	Eq#	A	B	C	D	E	F					
x vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
y vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vx vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vy vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
x vs t Fit Equation	f(z) = A + B z	0	152.000E-3	250.000E-3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
y vs t Fit Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vx vs t Fit Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vy vs t Fit Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Aquired Data													
t Seconds	x position	y position	x pixels	y pixels	tV seconds	x velocity	y velocity						
0.000E+0	13.363E-3	27.391E-3	418.304E+0	168.226E+0				
33.333E-3	46.239E-3	28.878E-3	439.718E+0	167.258E+0				
66.667E-3	78.691E-3	29.515E-3	460.855E+0	166.843E+0				
100.000E-3	109.022E-3	30.152E-3	480.611E+0	166.428E+0				
133.333E-3	138.929E-3	30.364E-3	500.091E+0	166.290E+0				
166.667E-3	173.502E-3	30.576E-3	522.610E+0	166.152E+0				
200.000E-3	200.440E-3	31.638E-3	540.156E+0	165.460E+0				
233.333E-3	209.560E-3	31.850E-3	546.096E+0	165.322E+0				
266.667E-3	218.681E-3	32.063E-3	552.037E+0	165.184E+0				
300.000E-3	226.953E-3	30.576E-3	557.425E+0	166.152E+0				
333.333E-3	234.801E-3	30.789E-3	562.537E+0	166.013E+0				
366.667E-3	243.497E-3	29.302E-3	568.201E+0	166.981E+0				
400.000E-3	250.072E-3	29.515E-3	572.484E+0	166.843E+0				
433.333E-3	260.041E-3	29.302E-3	578.977E+0	166.981E+0				
466.667E-3	268.738E-3	29.090E-3	584.641E+0	167.120E+0				
500.000E-3	277.010E-3	28.878E-3	590.029E+0	167.258E+0				
533.333E-3	286.130E-3	29.939E-3	595.970E+0	166.567E+0				
566.667E-3	293.130E-3	28.028E-3	600.529E+0	167.811E+0				
600.000E-3	301.402E-3	27.816E-3	605.917E+0	167.950E+0				
633.333E-3	309.674E-3	28.453E-3	611.305E+0	167.535E+0				
666.667E-3	318.794E-3	27.391E-3	617.246E+0	168.226E+0				
700.000E-3	327.491E-3	27.179E-3	622.910E+0	168.364E+0				
733.333E-3	336.611E-3	26.542E-3	628.851E+0	168.779E+0				
766.667E-3	344.035E-3	27.179E-3	633.686E+0	168.364E+0				
800.000E-3	353.580E-3	27.391E-3	639.903E+0	168.226E+0				
