Molab Export Data 10.vi		Video path	C:\LabData\UAAW1331.mov	MoLab State	0910 Fit Vx	12	Rotation	2	Contrast	1.000E+0
Calibration Data									
x0	y0	x1	y1	Sin q	Cos q	Cal factor	t0	EU#	EU text
306.302E+0	194.157E+0	306.302E+0	194.157E+0	1.000E+0	0.000E+0	1.536E-3	550.000E-3	1	m
Prediction/Fit Data	Equation Text	Eq#	A	B	C	D	E	F					
x vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
y vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vx vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vy vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
x vs t Fit Equation	f(z) = A + B z	0	123.900E-3	523.000E-3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
y vs t Fit Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vx vs t Fit Equation	f(z) = A + B z	0	1.068E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vy vs t Fit Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Aquired Data													
t Seconds	x position	y position	x pixels	y pixels	tV seconds	x velocity	y velocity						
166.667E-3	145.721E-3	41.892E-3	401.161E+0	166.887E+0	183.333E-3	1.095E+0	44.566E-3	
200.000E-3	182.226E-3	43.378E-3	424.924E+0	165.920E+0	216.667E-3	899.258E-3	26.740E-3	
233.333E-3	212.201E-3	44.269E-3	444.437E+0	165.340E+0	250.000E-3	1.131E+0	-8.913E-3	
266.667E-3	249.893E-3	43.972E-3	468.973E+0	165.533E+0	283.333E-3	1.006E+0	-62.392E-3	
300.000E-3	283.430E-3	41.892E-3	490.804E+0	166.887E+0	316.667E-3	436.274E-3	80.219E-3	
333.333E-3	297.972E-3	44.566E-3	500.270E+0	165.147E+0	350.000E-3	614.345E-3	26.740E-3	
366.667E-3	318.450E-3	45.457E-3	513.601E+0	164.566E+0	383.333E-3	489.695E-3	8.913E-3	
400.000E-3	334.773E-3	45.754E-3	524.227E+0	164.373E+0	416.667E-3	578.731E-3	-80.219E-3	
433.333E-3	354.064E-3	43.080E-3	536.784E+0	166.114E+0	450.000E-3	400.660E-3	98.045E-3	
466.667E-3	367.420E-3	46.349E-3	545.478E+0	163.986E+0	483.333E-3	632.152E-3	-80.219E-3	
500.000E-3	388.491E-3	43.675E-3	559.195E+0	165.727E+0	516.667E-3	543.116E-3	26.740E-3	
533.333E-3	406.595E-3	44.566E-3	570.980E+0	165.147E+0	550.000E-3	489.695E-3	8.913E-3	
566.667E-3	422.918E-3	44.863E-3	581.606E+0	164.953E+0	583.333E-3	525.309E-3	26.740E-3	
600.000E-3	440.429E-3	45.754E-3	593.004E+0	164.373E+0	616.667E-3	507.502E-3	-44.566E-3	
633.333E-3	457.346E-3	44.269E-3	604.016E+0	165.340E+0	650.000E-3	400.660E-3	26.740E-3	
666.667E-3	470.701E-3	45.160E-3	612.710E+0	164.760E+0	683.333E-3	614.345E-3	-8.913E-3	
700.000E-3	491.179E-3	44.863E-3	626.041E+0	164.953E+0	716.667E-3	596.538E-3	-8.913E-3	
733.333E-3	511.064E-3	44.566E-3	638.985E+0	165.147E+0	750.000E-3	507.502E-3	44.566E-3	
766.667E-3	527.980E-3	46.052E-3	649.997E+0	164.179E+0	783.333E-3	454.081E-3	-62.392E-3	
800.000E-3	543.116E-3	43.972E-3	659.850E+0	165.533E+0	816.667E-3	525.309E-3	80.219E-3	
833.333E-3	560.627E-3	46.646E-3	671.248E+0	163.793E+0	850.000E-3	560.923E-3	-80.219E-3	
866.667E-3	579.324E-3	43.972E-3	683.420E+0	165.533E+0	883.333E-3	507.502E-3	26.740E-3	
900.000E-3	596.241E-3	44.863E-3	694.432E+0	164.953E+0	916.667E-3	543.116E-3	26.740E-3	
933.333E-3	614.345E-3	45.754E-3	706.217E+0	164.373E+0	950.000E-3	632.152E-3	-8.913E-3	
966.667E-3	635.416E-3	45.457E-3	719.934E+0	164.566E+0	983.333E-3	454.081E-3	44.566E-3	
1.000E+0	650.552E-3	46.943E-3	729.787E+0	163.599E+0	1.017E+0	525.309E-3	-8.913E-3	
1.033E+0	668.063E-3	46.646E-3	741.185E+0	163.793E+0				
