Molab Export Data 10.vi		Video path	\\Files.umn.edu\cse\UmSaveDocs\fanxx495\Desktop\OPSQ9903.mov	MoLab State	1010 Prompt done	14	Rotation	0	Contrast	1.000E+0
Calibration Data									
x0	y0	x1	y1	Sin q	Cos q	Cal factor	t0	EU#	EU text
668.555E+0	395.389E+0	457.125E+0	376.540E+0	-996.049E-3	-88.801E-3	94.584E-3	358.333E-3	2	cm
Prediction/Fit Data	Equation Text	Eq#	A	B	C	D	E	F					
x vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
y vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vx vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vy vs t Prediction Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
x vs t Fit Equation	f(z) = A + B z + C z^2	1	48.000E+0	-8.000E+0	-33.000E+0	0.000E+0	0.000E+0	0.000E+0
y vs t Fit Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vx vs t Fit Equation	f(z) = A + B z	0	-1.000E+0	-77.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Vy vs t Fit Equation	f(z) = A + B z	0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0
Aquired Data													
t Seconds	x position	y position	x pixels	y pixels	tV seconds	x velocity	y velocity						
0.000E+0	47.276E+0	-2.478E+0	173.019E+0	324.912E+0	50.000E-3	-8.743E+0	1.147E+0	
100.000E-3	46.402E+0	-2.363E+0	182.118E+0	326.941E+0	145.833E-3	-14.025E+0	1.499E+0	
191.667E-3	45.117E+0	-2.225E+0	195.528E+0	329.595E+0	241.667E-3	-19.986E+0	1.627E+0	
291.667E-3	43.118E+0	-2.063E+0	216.421E+0	333.185E+0	337.500E-3	-30.439E+0	2.622E+0	
383.333E-3	40.328E+0	-1.822E+0	245.579E+0	338.336E+0	429.167E-3	-32.482E+0	176.397E-3	
475.000E-3	37.350E+0	-1.806E+0	276.920E+0	341.302E+0	520.833E-3	-39.939E+0	481.744E-3	
566.667E-3	33.689E+0	-1.762E+0	315.433E+0	345.204E+0	612.500E-3	-45.737E+0	288.266E-3	
658.333E-3	29.497E+0	-1.736E+0	359.559E+0	349.419E+0	704.167E-3	-50.865E+0	-168.912E-3	
750.000E-3	24.834E+0	-1.751E+0	408.675E+0	353.633E+0	795.833E-3	-60.245E+0	-35.006E-3	
841.667E-3	19.312E+0	-1.754E+0	466.834E+0	358.784E+0	887.500E-3	-66.043E+0	-228.484E-3	
933.333E-3	13.258E+0	-1.775E+0	530.607E+0	364.247E+0	979.167E-3	-70.793E+0	-1.299E+0	
1.025E+0	6.768E+0	-1.894E+0	599.057E+0	369.086E+0	1.071E+0	-77.174E+0	-2.191E+0	
1.117E+0	-305.933E-3	-2.095E+0	673.744E+0	373.613E+0	1.163E+0	-90.189E+0	2.470E+0	
1.208E+0	-8.573E+0	-1.869E+0	760.593E+0	383.759E+0	1.254E+0	-98.287E+0	2.718E+0	
1.300E+0	-17.583E+0	-1.620E+0	855.239E+0	394.841E+0	1.346E+0	-102.459E+0	-1.211E+0	
1.392E+0	-26.975E+0	-1.731E+0	954.250E+0	402.490E+0	1.437E+0	-115.663E+0	-5.299E+0	
1.483E+0	-37.577E+0	-2.216E+0	1.066E+3	407.329E+0	1.529E+0	-122.439E+0	1.858E+0	
1.575E+0	-48.801E+0	-2.046E+0	1.184E+3	419.660E+0				
